RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  130  148     0     0  con    0  1.0D+00  1.1D-01  3.902D-03  2.330D-01
  131  149     0     0  con    0  1.0D+00  7.6D-02  5.995D-03  2.329D-01
  132  150     0     0  con    0  1.0D+00  7.1D-02  4.535D-03  2.327D-01
  133  151     0     0  con    0  1.0D+00  8.4D-02  7.414D-03  2.324D-01
  134  152     0     0  con    0  1.0D+00  1.4D-01  6.876D-03  2.322D-01
  135  153     0     0  con    0  1.0D+00  2.9D-01  9.697D-03  2.319D-01
  136  154     0     0  con    0  1.0D+00  1.4D-01  6.583D-03  2.317D-01
  137  155     0     0  con    0  1.0D+00  7.6D-02  2.250D-03  2.315D-01
  138  156     0     0  con    0  1.0D+00  2.3D-01  4.337D-03  2.314D-01
  139  157     0     0  con    0  1.0D+00  1.6D-01  7.353D-03  2.313D-01
  140  158     0     0  con    0  1.0D+00  1.0D-01  9.551D-03  2.311D-01
  141  159     0     0  con    0  1.0D+00  3.7D-02  6.561D-03  2.310D-01
  142  160     0     0  con    0  1.0D+00  5.3D-02  5.718D-03  2.309D-01
  143  161     0     0  con    0  1.0D+00  6.7D-02  7.354D-03  2.308D-01
  144  162     0     0  con    0  1.0D+00  1.9D-01  4.748D-03  2.306D-01
  145  163     0     0  con    0  1.0D+00  4.4D-01  9.109D-03  2.303D-01
  146  164     0     0  con    0  1.0D+00  2.4D-01  5.666D-03  2.300D-01
  147  165     0     0  con    0  1.0D+00  2.2D-01  4.994D-03  2.298D-01
  148  166     0     0  con    0  1.0D+00  1.1D-01  6.021D-03  2.295D-01
  149  167     0     0  con    0  1.0D+00  2.5D-01  1.394D-02  2.293D-01
  150  168     0     0  con    0  1.0D+00  4.7D-02  3.298D-03  2.290D-01
  151  169     0     0  con    0  1.0D+00  1.1D-01  7.201D-03  2.289D-01
  152  170     0     0  con    0  1.0D+00  8.8D-02  1.476D-02  2.288D-01
  153  171     0     0  con    0  1.0D+00  1.1D-01  4.554D-03  2.286D-01
  154  172     0     0  con    0  1.0D+00  8.3D-02  4.953D-03  2.285D-01
  155  173     0     0  con    0  1.0D+00  1.4D-01  1.062D-02  2.284D-01
  156  174     0     0  con    0  1.0D+00  3.3D-02  1.180D-02  2.283D-01
  157  175     0     0  con    0  1.0D+00  1.6D-01  7.827D-03  2.281D-01
  158  176     0     0  con    0  1.0D+00  5.8D-02  4.767D-03  2.280D-01
  159  177     0     0  con    0  1.0D+00  1.2D-01  3.850D-03  2.278D-01
  160  178     0     0  con    0  1.0D+00  5.4D-02  9.036D-03  2.277D-01
  161  179     0     0  con    0  1.0D+00  5.3D-02  6.424D-03  2.275D-01
  162  180     0     0  con    0  1.0D+00  1.9D-01  1.791D-03  2.273D-01
  163  181     0     0  con    0  1.0D+00  3.3D-01  3.055D-03  2.271D-01
  164  182     0     0  con    0  1.0D+00  4.1D-01  1.643D-02  2.270D-01
  165  183     0     0  con    0  1.0D+00  1.4D-01  1.041D-02  2.269D-01
  166  184     0     0  con    0  1.0D+00  1.3D-01  5.970D-03  2.268D-01
  167  185     0     0  con    0  1.0D+00  4.9D-02  8.994D-03  2.266D-01
  168  186     0     0  con    0  1.0D+00  1.6D-01  1.075D-02  2.265D-01
  169  187     0     0  con    0  1.0D+00  4.5D-01  6.103D-03  2.265D-01
  170  188     0     0  con    0  1.0D+00  1.7D-01  8.254D-03  2.263D-01
  171  190     0     0  con    1  3.3D-01  3.0D-02  7.195D-03  2.262D-01
  172  191     0     0  con    0  1.0D+00  1.9D-02  6.092D-03  2.261D-01
  173  192     0     0  con    0  1.0D+00  7.7D-02  2.389D-03  2.260D-01
  174  193     0     0  con    0  1.0D+00  1.4D-01  4.631D-03  2.259D-01
  175  194     0     0  con    0  1.0D+00  1.5D-01  2.589D-03  2.257D-01
  176  196     0     0  con    1  4.4D-01  3.3D-01  4.281D-03  2.255D-01
  177  197     0     0  con    0  1.0D+00  1.8D-01  1.378D-02  2.254D-01
  178  198     0     0  con    0  1.0D+00  1.2D-01  4.479D-03  2.253D-01
  179  199     0     0  con    0  1.0D+00  3.0D-02  2.768D-03  2.253D-01
  180  200     0     0  con    0  1.0D+00  2.5D-02  5.534D-03  2.252D-01
  181  201     0     0  con    0  1.0D+00  9.5D-02  8.541D-03  2.251D-01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 0.000E+00 seconds.

